2022-03-04 10:57:54:DRPF:INFO: Event failed: name bias_make_master, action MakeMasterBias, arg name kb210507_00001.fits, recurr False
2022-03-04 11:36:48:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00032.fits, recurr False

2022-03-04 11:36:48:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00032.fits, recurr False

2022-03-04 11:41:08:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00033.fits, recurr False

2022-03-04 11:41:08:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00033.fits, recurr False

2022-03-04 11:45:16:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00034.fits, recurr False

2022-03-04 11:45:16:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00034.fits, recurr False

2022-03-04 11:49:27:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00035.fits, recurr False

2022-03-04 11:49:27:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00035.fits, recurr False

2022-03-04 11:53:10:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00036.fits, recurr False

2022-03-04 11:53:10:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00036.fits, recurr False

2022-03-04 11:56:58:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00037.fits, recurr False

2022-03-04 11:56:58:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00037.fits, recurr False

2022-03-04 12:00:33:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00038.fits, recurr False

2022-03-04 12:00:33:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00038.fits, recurr False

2022-03-04 12:04:18:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00039.fits, recurr False

2022-03-04 12:04:18:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00039.fits, recurr False

2022-03-04 12:07:27:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00040.fits, recurr False

2022-03-04 12:07:27:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00040.fits, recurr False

2022-03-04 12:10:35:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00041.fits, recurr False

2022-03-04 12:10:35:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00041.fits, recurr False

2022-03-04 12:13:51:DRPF:INFO: Event failed: name object_make_invsens, action MakeInvsens, arg name kb210507_00042.fits, recurr False

2022-03-04 12:13:51:DRPF:INFO: Event failed: name object_flux_calibrate, action FluxCalibrate, arg name kb210507_00042.fits, recurr False

