###############################################
#  xbin     ybin     Vrms      eVrms    flux
###############################################
   0.251   -0.907     68.9      3.6     151291
   0.895   -0.457     83.1      4.1     177101
   0.548   -0.785     73.1      3.7     159925
   0.716   -0.728     77.8      3.8     154861
   0.106   -0.928     67.5      3.5     150369
  -0.160   -0.931     76.1      3.5     148820
  -0.715    0.782     80.6      3.8     145338
  -0.728   -0.730     80.1      3.8     153252
  -0.436   -0.919     73.4      3.6     140594
  -0.585   -0.875     70.0      3.7     139471
  -0.900    0.486     74.2      4.1     171782
  -0.886    0.667     80.6      3.9     146405
  -0.589    0.916     73.5      3.6     132220
  -0.885   -0.589     78.2      4.0     158188
  -0.918   -0.432     80.6      4.1     176689
   0.538   -0.928     74.3      3.6     133343
   0.893   -0.630     75.8      3.9     150918
   0.802    0.758     76.0      3.8     141289
   0.716   -0.904     76.6      3.7     126081
   0.932    0.668     70.8      3.9     141189
  -0.737   -0.904     75.8      3.7     124697
  -0.902   -0.754     78.9      3.8     132417
  -0.912    0.872     72.2      3.8     116802
   0.894   -0.791     81.8      3.8     128310
  -0.774    0.925     70.7      3.7     119397
   0.885    0.899     72.5      3.7     115435
   0.901   -0.926     76.3      3.7     111356
  -0.901   -0.913     75.5      3.7     112755
